method,threshold_pct,n_features,model,selected_features,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,delta_r2
mi,20,16,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.5884292125701904,21.725521087646484,16.998241424560547,0.5788668990135193,21.883928298950195,17.062646865844727,0.5709628462791443,21.834239959716797,17.12885284423828,0.017466366291046143
mi,20,16,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.9808132262955462,4.690821697299222,2.805384910324537,0.9042616842862187,10.434183315819736,5.902965821920003,0.8860523688019409,11.252351331862895,6.554363197423269,0.0947608574936053
mi,20,16,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.9825290066198056,4.47617181407808,2.602484954120507,0.9028353825650565,10.511619783083217,5.830021590640069,0.8889628363530525,11.107717165042734,6.385147157781399,0.09356617026675307
mic,10,8,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence']",0.530938982963562,23.19330596923828,18.36134147644043,0.5190290808677673,23.387025833129883,18.50042152404785,0.5180734395980835,23.14094352722168,18.38127899169922,0.012865543365478516
mic,10,8,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence']",0.530938982963562,23.19330596923828,18.36144256591797,0.5190277099609375,23.387060165405273,18.500558853149414,0.5180727243423462,23.140960693359375,18.381389617919922,0.01286625862121582
mic,10,8,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence']",0.9497798030238085,7.589045462949278,4.487381900088949,0.8769436710906099,11.829531592835824,6.868349896364807,0.8681864301584958,12.102377461078017,7.2576079366095625,0.08159337286531265
mic,10,8,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence']",0.9697037187393213,5.89444080450965,3.2806353185270924,0.8717293255339394,12.07756157199606,6.773963974877851,0.8612942013771252,12.414748947969207,7.172604667939665,0.10840951736219606
mic,15,12,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie']",0.5697207450866699,22.213815689086914,17.272449493408203,0.5609912872314453,22.343547821044922,17.35740852355957,0.5579803586006165,22.162126541137695,17.322830200195312,0.011740386486053467
mic,15,12,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie']",0.5697197318077087,22.21384048461914,17.272680282592773,0.5609944462776184,22.343467712402344,17.35744285583496,0.5579831600189209,22.16205596923828,17.322879791259766,0.011736571788787842
mic,15,12,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'entropy_Valence', 'range_atomic_radius', 'std_ThermalConductivity', 'entropy_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'gmean_Valence', 'std_fie']",0.9630821882729099,6.506777016361427,3.6807208716734214,0.8809835829726186,11.63373071310473,6.6497499192010325,0.8672432065523589,12.145601006757447,7.10083427895291,0.09583898172055105
